epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4615,0.9529,1.53307,1.30782,0.75493,0.49609,0.61934,0.25763,1.55571,2.62695,2.62106,0.000661728,0.000661728,0.000661728
2,47.7432,1.03541,1.08418,1.37505,0.73637,0.77474,0.7932,0.48671,1.19865,1.693,1.75697,0.00132313,0.00132313,0.00132313
3,70.312,1.07153,0.96448,1.38865,0.75822,0.82682,0.84417,0.53216,1.13407,1.4826,1.64469,0.00197926,0.00197926,0.00197926
4,92.6132,1.05428,0.85611,1.36337,0.70382,0.55385,0.67178,0.36152,1.61089,1.57174,2.05357,0.00197624,0.00197624,0.00197624
5,114.915,1.02377,0.77444,1.34329,0.83194,0.78638,0.87434,0.56077,1.12504,0.94307,1.63286,0.00196832,0.00196832,0.00196832
6,137.262,0.9886,0.7268,1.31203,0.92482,0.8776,0.93814,0.67948,0.96136,0.76087,1.43896,0.0019604,0.0019604,0.0019604
7,159.586,0.93764,0.66907,1.28146,0.91427,0.92318,0.95298,0.69894,0.98573,0.64453,1.44606,0.00195248,0.00195248,0.00195248
8,181.911,0.93156,0.64253,1.27732,0.89361,0.82552,0.91006,0.60315,1.1086,0.79285,1.70495,0.00194456,0.00194456,0.00194456
9,204.234,0.91347,0.61655,1.269,0.94074,0.93012,0.97655,0.70755,0.89973,0.59094,1.34,0.00193664,0.00193664,0.00193664
10,226.619,0.86823,0.58552,1.23401,0.94087,0.90234,0.95781,0.70162,0.90334,0.6165,1.36179,0.00192872,0.00192872,0.00192872
11,248.932,0.85637,0.57612,1.23917,0.9814,0.9375,0.98548,0.76158,0.84533,0.48684,1.29618,0.0019208,0.0019208,0.0019208
12,271.172,0.87511,0.5734,1.24279,0.9345,0.94141,0.97981,0.77013,0.80942,0.54173,1.25047,0.00191288,0.00191288,0.00191288
13,293.497,0.85408,0.56365,1.2314,0.95501,0.95443,0.98106,0.76499,0.81691,0.50337,1.26454,0.00190496,0.00190496,0.00190496
14,315.865,0.84501,0.54716,1.22399,0.92017,0.94141,0.97185,0.73546,0.90079,0.55861,1.34219,0.00189704,0.00189704,0.00189704
15,338.287,0.82404,0.52576,1.20753,0.96685,0.94936,0.97924,0.76626,0.8149,0.49434,1.28762,0.00188912,0.00188912,0.00188912
16,360.562,0.81838,0.52728,1.19998,0.95549,0.9504,0.97928,0.76563,0.8248,0.48457,1.27792,0.0018812,0.0018812,0.0018812
17,382.854,0.80444,0.51436,1.19476,0.978,0.98409,0.99315,0.79807,0.75787,0.41375,1.232,0.00187328,0.00187328,0.00187328
18,405.212,0.79756,0.49828,1.17289,0.97541,0.98136,0.99059,0.80629,0.71025,0.40122,1.16668,0.00186536,0.00186536,0.00186536
19,427.521,0.80215,0.49803,1.18959,0.96489,0.95964,0.98316,0.79772,0.74616,0.44288,1.19861,0.00185744,0.00185744,0.00185744
20,449.813,0.7825,0.50263,1.17778,0.9436,0.95052,0.98508,0.79809,0.74166,0.44323,1.20049,0.00184952,0.00184952,0.00184952
21,472.173,0.77343,0.48977,1.16719,0.96723,0.96066,0.99057,0.81057,0.70605,0.42516,1.16304,0.0018416,0.0018416,0.0018416
22,494.542,0.75312,0.46953,1.15326,0.97401,0.97593,0.98993,0.80723,0.72146,0.41089,1.20292,0.00183368,0.00183368,0.00183368
23,516.866,0.74787,0.46916,1.15238,0.97051,0.98573,0.98824,0.8324,0.66039,0.37555,1.11258,0.00182576,0.00182576,0.00182576
24,539.163,0.75041,0.46391,1.15004,0.98976,0.98698,0.9929,0.83765,0.65013,0.36328,1.10411,0.00181784,0.00181784,0.00181784
25,561.681,0.7386,0.4605,1.15388,0.96885,0.97186,0.98869,0.80947,0.72761,0.41446,1.19774,0.00180992,0.00180992,0.00180992
26,590.973,0.73287,0.45916,1.15102,0.97372,0.98307,0.99297,0.83166,0.68041,0.3779,1.13893,0.001802,0.001802,0.001802
27,619.689,0.73291,0.45068,1.13989,0.9841,0.96707,0.99263,0.82531,0.69355,0.37743,1.16261,0.00179408,0.00179408,0.00179408
28,649.431,0.72832,0.4536,1.14706,0.97357,0.95312,0.9799,0.78843,0.74223,0.43525,1.23448,0.00178616,0.00178616,0.00178616
29,679.847,0.71184,0.44856,1.12832,0.99343,0.98401,0.99388,0.86645,0.57944,0.32532,1.05359,0.00177824,0.00177824,0.00177824
30,710.079,0.69338,0.42821,1.11988,0.9842,0.97311,0.99288,0.84466,0.65872,0.35279,1.10989,0.00177032,0.00177032,0.00177032
31,740.307,0.68678,0.42474,1.11539,0.97857,0.98047,0.99346,0.85404,0.6186,0.34273,1.07904,0.0017624,0.0017624,0.0017624
32,765.377,0.69176,0.42543,1.11937,0.98819,0.98082,0.99373,0.86293,0.63603,0.35105,1.10316,0.00175448,0.00175448,0.00175448
33,794.403,0.68773,0.4278,1.11884,0.98303,0.98071,0.98545,0.8429,0.61577,0.33642,1.08556,0.00174656,0.00174656,0.00174656
34,824.562,0.67556,0.4254,1.10476,0.9828,0.98177,0.99256,0.86006,0.60857,0.35383,1.09283,0.00173864,0.00173864,0.00173864
35,854.945,0.66658,0.41133,1.10643,0.9795,0.99541,0.9932,0.87337,0.56952,0.32362,1.03738,0.00173072,0.00173072,0.00173072
36,884.922,0.67479,0.42554,1.10957,0.98695,0.98481,0.9939,0.87037,0.58502,0.31507,1.04549,0.0017228,0.0017228,0.0017228
37,914.82,0.65355,0.41428,1.10248,0.97341,0.97526,0.9889,0.84504,0.62192,0.36378,1.09561,0.00171488,0.00171488,0.00171488
38,945.089,0.64579,0.40718,1.08946,0.99607,0.99079,0.99426,0.8799,0.54947,0.31345,1.02834,0.00170696,0.00170696,0.00170696
39,975.688,0.63691,0.39797,1.08322,0.98827,0.98693,0.99292,0.86457,0.57866,0.34078,1.06033,0.00169904,0.00169904,0.00169904
40,1005.97,0.65237,0.4048,1.09252,0.98964,0.99479,0.99265,0.87922,0.54884,0.32331,1.01549,0.00169112,0.00169112,0.00169112
41,1035.92,0.63564,0.398,1.08029,0.98825,0.98596,0.99383,0.87407,0.56719,0.32771,1.05159,0.0016832,0.0016832,0.0016832
42,1066.07,0.61773,0.38514,1.07756,0.98767,0.99349,0.99376,0.87623,0.57336,0.30374,1.04991,0.00167528,0.00167528,0.00167528
43,1096.21,0.61421,0.38429,1.07199,0.98853,0.99089,0.99384,0.88399,0.5359,0.29612,1.00884,0.00166736,0.00166736,0.00166736
44,1126.55,0.62616,0.38642,1.08066,0.98795,0.99089,0.99361,0.88,0.52876,0.31284,1.01304,0.00165944,0.00165944,0.00165944
45,1156.98,0.62098,0.38416,1.07374,0.98577,0.99212,0.99447,0.88293,0.53449,0.29942,1.0329,0.00165152,0.00165152,0.00165152
46,1187.26,0.61929,0.38767,1.06883,0.9863,0.98698,0.99374,0.87645,0.55404,0.3168,1.0343,0.0016436,0.0016436,0.0016436
47,1214.76,0.60488,0.37383,1.07114,0.99705,0.99609,0.99463,0.89958,0.48718,0.28386,0.988,0.00163568,0.00163568,0.00163568
48,1237.42,0.60509,0.38599,1.06162,0.99737,0.98648,0.99441,0.90094,0.50195,0.28956,0.981,0.00162776,0.00162776,0.00162776
49,1260.05,0.58213,0.36648,1.05683,0.99609,0.99456,0.99457,0.90347,0.48253,0.27623,0.96782,0.00161984,0.00161984,0.00161984
50,1282.51,0.60269,0.37556,1.07148,0.9946,0.98958,0.99455,0.89157,0.51247,0.30321,1.00407,0.00161192,0.00161192,0.00161192
51,1304.86,0.57421,0.36304,1.05045,0.98942,0.98047,0.99318,0.89945,0.49883,0.29968,1.00734,0.001604,0.001604,0.001604
52,1327.28,0.58635,0.36938,1.05436,0.99656,0.99479,0.99478,0.90179,0.49054,0.2823,0.99383,0.00159608,0.00159608,0.00159608
53,1355.22,0.56975,0.36266,1.04479,0.99829,0.99349,0.99453,0.91115,0.46304,0.27202,0.96845,0.00158816,0.00158816,0.00158816
54,1385.37,0.57075,0.35931,1.04694,0.98881,0.99219,0.9939,0.88068,0.56259,0.30097,1.05547,0.00158024,0.00158024,0.00158024
55,1415.74,0.57642,0.35928,1.05323,0.99451,0.98828,0.9942,0.90409,0.48298,0.2797,0.97128,0.00157232,0.00157232,0.00157232
56,1446.75,0.57012,0.359,1.05439,0.99831,0.99479,0.9949,0.91743,0.45984,0.25922,0.95749,0.0015644,0.0015644,0.0015644
57,1479.21,0.56744,0.35985,1.04252,0.99221,0.99548,0.99406,0.90789,0.4898,0.29125,0.9805,0.00155648,0.00155648,0.00155648
58,1511.57,0.56294,0.35782,1.04248,0.99218,0.99173,0.99439,0.92129,0.45037,0.26227,0.94802,0.00154856,0.00154856,0.00154856
59,1543.67,0.54921,0.34823,1.03921,0.99217,0.98976,0.99421,0.90736,0.46246,0.27807,0.96159,0.00154064,0.00154064,0.00154064
60,1574.39,0.55188,0.35303,1.03835,0.99869,0.99077,0.99461,0.91275,0.46559,0.28003,0.96679,0.00153272,0.00153272,0.00153272
61,1605.22,0.55668,0.35671,1.03961,0.99572,0.99609,0.99458,0.91744,0.44248,0.26836,0.95277,0.0015248,0.0015248,0.0015248
62,1627.5,0.55218,0.34719,1.03684,0.9983,0.99609,0.99435,0.91614,0.44265,0.26035,0.94792,0.00151688,0.00151688,0.00151688
63,1649.8,0.54007,0.3429,1.03028,0.99561,0.99609,0.99457,0.92789,0.42826,0.25313,0.93318,0.00150896,0.00150896,0.00150896
64,1672.18,0.54913,0.34882,1.03261,0.99021,0.99609,0.9942,0.91628,0.44203,0.26949,0.95147,0.00150104,0.00150104,0.00150104
65,1694.52,0.54193,0.3481,1.03449,0.99683,0.98958,0.99445,0.92657,0.43061,0.26203,0.94375,0.00149312,0.00149312,0.00149312
66,1716.83,0.53226,0.34466,1.03145,0.99658,0.99609,0.99453,0.9319,0.41134,0.24895,0.91296,0.0014852,0.0014852,0.0014852
67,1739.13,0.53935,0.34189,1.02862,0.9921,0.99609,0.99404,0.9194,0.43899,0.2688,0.94958,0.00147728,0.00147728,0.00147728
68,1761.37,0.51802,0.32781,1.01936,0.99647,0.99089,0.99471,0.92976,0.41266,0.24448,0.92582,0.00146936,0.00146936,0.00146936
69,1783.74,0.53469,0.34281,1.02523,0.99336,0.99349,0.99446,0.9336,0.40929,0.24914,0.92194,0.00146144,0.00146144,0.00146144
70,1806.08,0.52206,0.33386,1.02152,0.99761,0.99609,0.99409,0.92434,0.4013,0.25191,0.92256,0.00145352,0.00145352,0.00145352
71,1828.37,0.51238,0.33063,1.01638,0.99603,0.99609,0.99445,0.93261,0.40026,0.24003,0.91758,0.0014456,0.0014456,0.0014456
72,1853.71,0.50151,0.31799,1.00556,0.99349,0.99609,0.99457,0.93917,0.38725,0.23957,0.9036,0.00143768,0.00143768,0.00143768
73,1881.76,0.50876,0.32449,1.01443,0.99855,0.99089,0.99474,0.94027,0.39253,0.23461,0.90589,0.00142976,0.00142976,0.00142976
74,1912.47,0.51692,0.32947,1.01438,0.99806,0.99609,0.99458,0.94104,0.39354,0.23723,0.90664,0.00142184,0.00142184,0.00142184
75,1942.97,0.51433,0.3241,1.01438,0.99848,0.99609,0.99454,0.9417,0.39743,0.23348,0.90847,0.00141392,0.00141392,0.00141392
76,1973.38,0.49064,0.31865,1.00158,0.99443,0.99609,0.99443,0.9347,0.4,0.24155,0.92358,0.001406,0.001406,0.001406
77,2002.01,0.49883,0.32023,1.0114,0.99837,0.99089,0.99458,0.94407,0.36981,0.23015,0.9002,0.00139808,0.00139808,0.00139808
78,2031.33,0.50956,0.32762,1.01188,0.99839,0.99609,0.99452,0.93221,0.39969,0.2454,0.92157,0.00139016,0.00139016,0.00139016
79,2061.05,0.49299,0.31748,1.00557,0.99851,0.99609,0.99469,0.93293,0.4051,0.23453,0.92527,0.00138224,0.00138224,0.00138224
80,2090.5,0.48803,0.3106,1.00835,0.99836,0.99609,0.99463,0.94313,0.38386,0.23481,0.90423,0.00137432,0.00137432,0.00137432
81,2120.24,0.48915,0.31795,1.00363,0.99844,0.99609,0.99465,0.94763,0.36298,0.22384,0.89478,0.0013664,0.0013664,0.0013664
