epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4653,1.33423,2.50956,1.27997,0.89816,0.81547,0.90915,0.5484,1.24806,1.87635,1.16252,0.00332026,0.00332026,0.00332026
2,82.0737,1.31641,1.46225,1.21853,0.94148,0.88149,0.94915,0.59091,1.19734,1.07332,1.15837,0.00662066,0.00662066,0.00662066
3,120.315,1.38618,1.24734,1.28589,0.7864,0.75652,0.82316,0.48924,1.3512,1.21244,1.32753,0.00988806,0.00988806,0.00988806
4,158.457,1.43946,1.18307,1.34066,0.87351,0.8041,0.87201,0.37667,1.79005,1.82084,1.53921,0.0098515,0.0098515,0.0098515
5,196.123,1.42526,1.06862,1.34963,0.84176,0.81507,0.88289,0.46385,1.53175,1.14818,1.44141,0.009802,0.009802,0.009802
6,234.647,1.36791,0.98882,1.33049,0.92605,0.90061,0.94629,0.59197,1.27007,0.78149,1.26584,0.0097525,0.0097525,0.0097525
7,278.333,1.37461,0.95518,1.34113,0.92709,0.93151,0.96083,0.64609,1.10797,0.70561,1.22456,0.009703,0.009703,0.009703
8,329.378,1.3476,0.91365,1.33172,0.95374,0.93493,0.97712,0.56805,1.3677,0.71565,1.28912,0.0096535,0.0096535,0.0096535
9,373.799,1.32977,0.90047,1.31259,0.95662,0.9589,0.97582,0.65992,1.11113,0.63054,1.21301,0.009604,0.009604,0.009604
10,411.123,1.31239,0.87979,1.30195,0.95953,0.91438,0.96469,0.64194,1.17483,0.62868,1.23613,0.0095545,0.0095545,0.0095545
11,448.304,1.28902,0.83747,1.28782,0.96011,0.94178,0.97669,0.64596,1.13367,0.62314,1.24013,0.009505,0.009505,0.009505
12,485.674,1.27419,0.82609,1.28247,0.95881,0.9565,0.9727,0.64033,1.17753,0.64492,1.24043,0.0094555,0.0094555,0.0094555
13,522.973,1.26441,0.81189,1.26434,0.95878,0.95586,0.96766,0.64113,1.12468,0.59527,1.22876,0.009406,0.009406,0.009406
14,571.991,1.23945,0.785,1.25807,0.95858,0.95111,0.97631,0.67334,1.13362,0.60109,1.18843,0.0093565,0.0093565,0.0093565
15,620.939,1.24808,0.77484,1.26601,0.97878,0.93151,0.97325,0.67666,1.05262,0.6189,1.17843,0.009307,0.009307,0.009307
16,670.071,1.22952,0.75915,1.24727,0.96627,0.94863,0.97516,0.66709,1.05072,0.53282,1.19438,0.0092575,0.0092575,0.0092575
17,719.105,1.20047,0.73411,1.23633,0.95231,0.9574,0.97677,0.64672,1.08244,0.5648,1.20755,0.009208,0.009208,0.009208
18,768.599,1.1971,0.73373,1.23499,0.97649,0.9589,0.97768,0.67965,1.04303,0.53627,1.16912,0.0091585,0.0091585,0.0091585
19,809.878,1.21725,0.7357,1.23324,0.98162,0.96918,0.982,0.6935,1.0355,0.52741,1.16874,0.009109,0.009109,0.009109
20,847.035,1.18649,0.70356,1.22757,0.97944,0.97889,0.98652,0.71209,0.9715,0.4863,1.15858,0.0090595,0.0090595,0.0090595
21,884.194,1.1746,0.7035,1.21299,0.96932,0.96575,0.9851,0.69843,1.03026,0.52343,1.16457,0.00901,0.00901,0.00901
22,921.303,1.15274,0.68516,1.20757,0.97301,0.96575,0.98326,0.68121,1.08778,0.52137,1.23183,0.0089605,0.0089605,0.0089605
23,958.454,1.1468,0.67742,1.20141,0.97178,0.94334,0.97795,0.70211,0.98158,0.5465,1.16435,0.008911,0.008911,0.008911
24,995.664,1.15474,0.67123,1.20517,0.96959,0.9826,0.98777,0.71578,0.98626,0.47666,1.151,0.0088615,0.0088615,0.0088615
25,1033.36,1.14042,0.67103,1.2001,0.96602,0.97346,0.97839,0.72308,0.96462,0.47485,1.156,0.008812,0.008812,0.008812
26,1071.2,1.12837,0.66727,1.19417,0.98134,0.96575,0.98228,0.71936,0.94252,0.48189,1.13572,0.0087625,0.0087625,0.0087625
27,1108.48,1.13596,0.64495,1.19914,0.97837,0.96575,0.98288,0.69779,1.01372,0.48342,1.15956,0.008713,0.008713,0.008713
28,1145.62,1.10935,0.64764,1.17543,0.97587,0.9695,0.98129,0.66862,1.16149,0.48596,1.18632,0.0086635,0.0086635,0.0086635
29,1182.82,1.12384,0.63944,1.18495,0.9782,0.97603,0.99288,0.7137,0.99721,0.4854,1.12378,0.008614,0.008614,0.008614
30,1220.05,1.10128,0.63289,1.17584,0.97593,0.97216,0.9836,0.7325,0.94732,0.46333,1.13487,0.0085645,0.0085645,0.0085645
31,1257.23,1.09232,0.62628,1.17393,0.97289,0.98304,0.98381,0.72434,0.95661,0.44766,1.12458,0.008515,0.008515,0.008515
32,1294.31,1.09335,0.62339,1.17644,0.98271,0.97302,0.98538,0.72643,0.92227,0.45377,1.1315,0.0084655,0.0084655,0.0084655
33,1331.54,1.08698,0.6158,1.17079,0.97953,0.98312,0.98846,0.74295,0.94945,0.43651,1.13635,0.008416,0.008416,0.008416
34,1368.89,1.07563,0.60753,1.16099,0.976,0.9747,0.99091,0.73665,0.94502,0.43528,1.12724,0.0083665,0.0083665,0.0083665
35,1406.13,1.08734,0.60779,1.17204,0.98076,0.97945,0.98912,0.73556,0.93958,0.43238,1.12778,0.008317,0.008317,0.008317
36,1443.42,1.06287,0.59348,1.16225,0.98589,0.96918,0.98577,0.73024,0.94945,0.45192,1.11718,0.0082675,0.0082675,0.0082675
37,1480.78,1.06865,0.59811,1.1611,0.99125,0.96233,0.98795,0.71858,0.9595,0.45729,1.1207,0.008218,0.008218,0.008218
38,1518.07,1.05535,0.58824,1.14662,0.97916,0.96563,0.98308,0.73579,0.94094,0.42839,1.1035,0.0081685,0.0081685,0.0081685
39,1555.35,1.05585,0.59002,1.15272,0.98829,0.9726,0.9888,0.74294,0.90393,0.43688,1.09448,0.008119,0.008119,0.008119
40,1592.62,1.06491,0.59978,1.16588,0.9663,0.98189,0.98848,0.7463,0.89375,0.43353,1.10031,0.0080695,0.0080695,0.0080695
41,1629.92,1.05525,0.59519,1.14657,0.97076,0.9726,0.98715,0.74367,0.90814,0.42574,1.11262,0.00802,0.00802,0.00802
42,1667.21,1.04708,0.58392,1.1442,0.98895,0.96918,0.9884,0.74613,0.94,0.42577,1.1075,0.0079705,0.0079705,0.0079705
43,1704.48,1.0483,0.59989,1.14296,0.9751,0.97603,0.98425,0.7481,0.89992,0.42835,1.11398,0.007921,0.007921,0.007921
44,1741.75,1.03374,0.56094,1.13804,0.98449,0.97945,0.98866,0.75976,0.89714,0.40695,1.08945,0.0078715,0.0078715,0.0078715
45,1778.87,1.0359,0.56723,1.13608,0.97608,0.97945,0.98845,0.76015,0.86467,0.42497,1.08646,0.007822,0.007822,0.007822
46,1815.95,1.01821,0.55515,1.13784,0.98803,0.98288,0.98923,0.76285,0.8772,0.38164,1.10099,0.0077725,0.0077725,0.0077725
47,1853.12,1.01633,0.56068,1.1346,0.99303,0.97552,0.99016,0.75748,0.87611,0.40666,1.09049,0.007723,0.007723,0.007723
48,1890.33,1.01824,0.56025,1.12984,0.9931,0.98557,0.99224,0.76105,0.88796,0.38331,1.09361,0.0076735,0.0076735,0.0076735
49,1927.66,1.01466,0.54737,1.13239,0.98272,0.97945,0.98438,0.76046,0.86234,0.38672,1.07967,0.007624,0.007624,0.007624
50,1964.92,1.00401,0.54545,1.11934,0.98625,0.98288,0.99092,0.76447,0.85591,0.38688,1.07642,0.0075745,0.0075745,0.0075745
51,2002.23,0.99941,0.53925,1.12019,0.98287,0.98254,0.98747,0.75068,0.89332,0.40019,1.09677,0.007525,0.007525,0.007525
52,2039.54,1.01165,0.55526,1.12803,0.98674,0.97945,0.99183,0.7635,0.88129,0.39122,1.08955,0.0074755,0.0074755,0.0074755
53,2076.85,0.99051,0.53323,1.1082,0.98941,0.98288,0.99134,0.76368,0.88479,0.38593,1.09042,0.007426,0.007426,0.007426
54,2114,0.98718,0.54148,1.11213,0.99205,0.98973,0.99068,0.75275,0.86648,0.37781,1.08657,0.0073765,0.0073765,0.0073765
55,2151.23,0.98368,0.53578,1.09935,0.99201,0.99315,0.99472,0.76587,0.86899,0.38207,1.06912,0.007327,0.007327,0.007327
56,2188.35,0.99097,0.53908,1.11469,0.99077,0.97945,0.99037,0.76668,0.85731,0.38471,1.07515,0.0072775,0.0072775,0.0072775
57,2225.6,0.98062,0.52535,1.10648,0.99605,0.98288,0.98694,0.76401,0.85824,0.38675,1.07359,0.007228,0.007228,0.007228
58,2262.71,0.97247,0.52827,1.11116,0.98389,0.9726,0.9901,0.76003,0.84945,0.39257,1.07185,0.0071785,0.0071785,0.0071785
59,2299.84,0.96838,0.5282,1.10865,0.9846,0.98973,0.99095,0.76801,0.84945,0.36147,1.07553,0.007129,0.007129,0.007129
60,2337.05,0.96721,0.52512,1.10257,0.99255,0.98973,0.9907,0.77119,0.84838,0.36576,1.06468,0.0070795,0.0070795,0.0070795
61,2374.36,0.96862,0.52503,1.09446,0.98634,0.98932,0.99097,0.78355,0.82706,0.36075,1.06903,0.00703,0.00703,0.00703
62,2411.59,0.95297,0.51499,1.09254,0.98629,0.98515,0.99081,0.78259,0.85335,0.36704,1.06746,0.0069805,0.0069805,0.0069805
63,2448.96,0.94831,0.52313,1.08787,0.99307,0.9813,0.98998,0.77561,0.84575,0.37006,1.07563,0.006931,0.006931,0.006931
64,2486.21,0.95331,0.52097,1.09864,0.98561,0.9863,0.99141,0.78175,0.8443,0.35825,1.06265,0.0068815,0.0068815,0.0068815
65,2523.36,0.93811,0.51069,1.08572,0.9924,0.98288,0.99046,0.78378,0.82839,0.35587,1.06494,0.006832,0.006832,0.006832
66,2560.57,0.93588,0.50587,1.08417,0.98849,0.98973,0.99131,0.77892,0.83007,0.35871,1.05626,0.0067825,0.0067825,0.0067825
67,2597.81,0.93011,0.50835,1.08827,0.994,0.98288,0.99172,0.78239,0.8345,0.36045,1.07266,0.006733,0.006733,0.006733
68,2634.95,0.93541,0.50983,1.08816,0.98887,0.99315,0.99483,0.7801,0.83743,0.35209,1.04921,0.0066835,0.0066835,0.0066835
69,2672.22,0.93059,0.50046,1.07997,0.99537,0.99315,0.99229,0.78098,0.83348,0.34864,1.05892,0.006634,0.006634,0.006634
70,2709.42,0.91903,0.49616,1.07986,0.99312,0.98835,0.99182,0.78619,0.8056,0.34388,1.04498,0.0065845,0.0065845,0.0065845
71,2746.58,0.92194,0.49715,1.08163,0.9894,0.98288,0.99124,0.79504,0.8081,0.35052,1.04651,0.006535,0.006535,0.006535
72,2783.79,0.90177,0.48666,1.0672,0.9917,0.98973,0.99113,0.7905,0.80318,0.3465,1.05146,0.0064855,0.0064855,0.0064855
